"year","inc_type","type_descr","fires","casualties","deaths","battery_fires","battery_casualties","battery_deaths","sev","room","struc","beyond"
"2002","10","Fire, other","11305","195","19","0","0","0","447","331","163","20"
"2002","11","Structure Fire","162232","8390","853","6","0","0","118318","91326","49310","7273"
"2002","12","Fire in mobile property used as a fixed structure","7270","339","85","0","0","0","5535","4780","3466","623"
"2002","13","Mobile property (vehicle) fire","132041","906","226","34","1","0","1759","701","522","128"
"2002","14","Natural vegetation fire","97513","231","13","0","0","0","171","30","13","7"
"2002","15","Outside rubbish fire","32504","61","3","0","0","0","351","113","60","13"
"2002","16","Special outside fire","14148","166","18","0","0","0","104","69","50","8"
"2002","17","Cultivated vegetation, crop fire","10765","59","8","0","0","0","287","119","87","15"
"2003","10","Fire, other","11196","174","24","1","0","0","938","412","164","28"
"2003","11","Structure Fire","190614","9581","1082","10","0","0","163781","108043","60353","8470"
"2003","12","Fire in mobile property used as a fixed structure","9323","436","102","1","0","0","8771","6181","4510","753"
"2003","13","Mobile property (vehicle) fire","155434","1094","264","34","0","0","849","383","215","45"
"2003","14","Natural vegetation fire","101916","270","16","1","0","0","60","12","8","3"
"2003","15","Outside rubbish fire","28925","61","1","0","0","0","320","185","97","6"
"2003","16","Special outside fire","17573","184","10","2","0","0","220","148","71","8"
"2003","17","Cultivated vegetation, crop fire","10777","41","3","0","0","0","291","179","89","9"
"2004","10","Fire, other","10710","162","11","1","0","0","567","441","181","16"
"2004","11","Structure Fire","190219","9608","1099","14","1","0","132144","108803","61973","8683"
"2004","12","Fire in mobile property used as a fixed structure","10279","398","107","1","0","0","7841","6681","4940","848"
"2004","13","Mobile property (vehicle) fire","153372","1101","248","33","0","0","443","255","176","38"
"2004","14","Natural vegetation fire","109325","205","17","0","0","0","29","6","2","1"
"2004","15","Outside rubbish fire","27010","56","2","0","0","0","213","145","84","13"
"2004","16","Special outside fire","19164","176","15","2","1","0","140","118","79","19"
"2004","17","Cultivated vegetation, crop fire","8910","36","1","0","0","0","207","136","77","24"
"2005","10","Fire, other","12018","169","15","2","0","0","488","342","135","19"
"2005","11","Structure Fire","208521","10029","1070","17","0","0","141350","118267","69479","9712"
"2005","12","Fire in mobile property used as a fixed structure","11057","455","118","3","0","0","8431","7179","5369","957"
"2005","13","Mobile property (vehicle) fire","168688","1169","290","60","0","0","201","84","68","18"
"2005","14","Natural vegetation fire","152992","304","24","0","0","0","34","2","2","0"
"2005","15","Outside rubbish fire","30877","58","6","0","0","0","43","16","13","5"
"2005","16","Special outside fire","23757","197","17","3","0","0","75","48","42","9"
"2005","17","Cultivated vegetation, crop fire","7686","26","2","0","0","0","67","33","21","6"
"2006","10","Fire, other","11535","158","15","2","1","0","855","375","155","26"
"2006","11","Structure Fire","209048","9973","1174","16","2","0","178251","120878","71941","10819"
"2006","12","Fire in mobile property used as a fixed structure","11271","444","110","0","0","0","10557","7321","5573","1132"
"2006","13","Mobile property (vehicle) fire","160763","1158","317","42","1","0","199","71","48","16"
"2006","14","Natural vegetation fire","177848","367","19","1","0","0","33","12","11","4"
"2006","15","Outside rubbish fire","33022","67","4","1","0","0","74","27","21","9"
"2006","16","Special outside fire","25143","196","13","1","1","0","84","49","44","20"
"2006","17","Cultivated vegetation, crop fire","7432","27","3","0","0","0","70","33","24","8"
"2007","10","Fire, other","11209","185","22","1","0","0","936","436","176","20"
"2007","11","Structure Fire","218737","10653","1190","18","2","0","186359","126202","77959","12322"
"2007","12","Fire in mobile property used as a fixed structure","11427","421","108","1","0","0","10747","7408","5614","1111"
"2007","13","Mobile property (vehicle) fire","160335","1175","300","67","1","0","113","48","43","22"
"2007","14","Natural vegetation fire","177155","335","13","0","0","0","18","12","7","3"
"2007","15","Outside rubbish fire","35194","61","1","0","0","0","94","36","21","6"
"2007","16","Special outside fire","27058","201","14","3","0","0","69","27","23","9"
"2007","17","Cultivated vegetation, crop fire","7380","17","0","0","0","0","61","28","19","7"
"2008","10","Fire, other","25641","306","35","2","0","0","997","439","152","34"
"2008","11","Structure Fire","217127","11078","1218","21","2","0","183635","125442","77869","11233"
"2008","12","Fire in mobile property used as a fixed structure","11598","406","134","0","0","0","10847","7466","5698","1095"
"2008","13","Mobile property (vehicle) fire","153357","1128","314","41","0","0","77","27","25","11"
"2008","14","Natural vegetation fire","164911","314","13","0","0","0","1","0","0","0"
"2008","15","Outside rubbish fire","31320","68","6","1","0","0","39","10","8","3"
"2008","16","Special outside fire","27386","181","13","3","0","0","68","34","32","14"
"2008","17","Cultivated vegetation, crop fire","6313","22","2","0","0","0","11","3","2","1"
"2009","10","Fire, other","32994","357","29","6","0","0","772","489","167","21"
"2009","11","Structure Fire","198527","10650","1122","16","0","0","164945","133055","80170","10239"
"2009","12","Fire in mobile property used as a fixed structure","9564","411","118","2","0","0","8927","7069","5249","988"
"2009","13","Mobile property (vehicle) fire","150255","1041","238","46","0","0","107","64","57","23"
"2009","14","Natural vegetation fire","156032","293","23","2","0","0","0","0","0","0"
"2009","15","Outside rubbish fire","28690","59","2","0","0","0","36","21","15","4"
"2009","16","Special outside fire","25150","198","12","2","0","0","78","56","49","17"
"2009","17","Cultivated vegetation, crop fire","5187","14","0","0","0","0","4","4","2","1"
"2010","10","Fire, other","36565","372","22","3","0","0","999","568","193","17"
"2010","11","Structure Fire","222332","11480","1256","30","4","0","189205","145440","85458","11362"
"2010","12","Fire in mobile property used as a fixed structure","10576","415","100","1","0","0","9840","7624","5621","1066"
"2010","13","Mobile property (vehicle) fire","155751","1047","249","38","0","0","108","48","41","23"
"2010","14","Natural vegetation fire","173925","302","14","0","0","0","1","1","1","1"
"2010","15","Outside rubbish fire","31344","65","1","1","0","0","39","16","13","4"
"2010","16","Special outside fire","26638","196","14","3","0","0","77","44","39","9"
"2010","17","Cultivated vegetation, crop fire","6202","16","1","0","0","0","1","0","0","0"
"2011","10","Fire, other","37341","396","42","14","0","0","913","554","177","32"
"2011","11","Structure Fire","226748","11467","1271","30","1","0","191043","148794","86578","12036"
"2011","12","Fire in mobile property used as a fixed structure","11024","420","108","0","0","0","10296","8072","5896","1161"
"2011","13","Mobile property (vehicle) fire","149799","1004","245","40","0","0","65","27","23","6"
"2011","14","Natural vegetation fire","181901","324","24","1","0","0","0","0","0","0"
"2011","15","Outside rubbish fire","32272","52","3","2","0","0","41","17","13","6"
"2011","16","Special outside fire","27042","209","15","3","0","0","92","58","46","13"
"2011","17","Cultivated vegetation, crop fire","5202","14","1","0","0","0","2","1","0","0"
"2012","10","Fire, other","32975","388","39","17","0","0","824","516","171","31"
"2012","11","Structure Fire","192786","10188","1133","54","4","0","169552","135352","80874","11553"
"2012","12","Fire in mobile property used as a fixed structure","9492","425","124","2","0","0","8899","7199","5321","1047"
"2012","13","Mobile property (vehicle) fire","136490","1016","268","27","0","0","0","0","0","0"
"2012","14","Natural vegetation fire","165594","337","23","1","0","0","0","0","0","0"
"2012","15","Outside rubbish fire","32520","50","1","1","0","0","0","0","0","0"
"2012","16","Special outside fire","24997","228","15","9","1","0","1","1","1","0"
"2012","17","Cultivated vegetation, crop fire","5025","7","0","0","0","0","0","0","0","0"
"2013","10","Fire, other","32705","374","29","22","1","0","901","594","208","25"
"2013","11","Structure Fire","197796","9905","1153","73","4","0","172680","141160","82088","10677"
"2013","12","Fire in mobile property used as a fixed structure","9353","347","102","5","0","0","8825","7506","5362","951"
"2013","13","Mobile property (vehicle) fire","137362","1016","247","56","0","0","0","0","0","0"
"2013","14","Natural vegetation fire","119806","198","11","2","0","0","1","1","1","1"
"2013","15","Outside rubbish fire","30947","70","5","0","0","0","0","0","0","0"
"2013","16","Special outside fire","23010","180","16","5","0","0","1","1","1","0"
"2013","17","Cultivated vegetation, crop fire","3686","10","0","0","0","0","0","0","0","0"
"2014","10","Fire, other","34683","401","39","27","2","0","886","626","211","38"
"2014","11","Structure Fire","204267","10026","1199","78","5","0","176916","147224","86911","12120"
"2014","12","Fire in mobile property used as a fixed structure","9552","373","114","7","0","0","9029","7844","5617","1057"
"2014","13","Mobile property (vehicle) fire","139898","1072","274","41","0","0","0","0","0","0"
"2014","14","Natural vegetation fire","147826","269","16","5","0","0","0","0","0","0"
"2014","15","Outside rubbish fire","32140","53","3","3","0","0","0","0","0","0"
"2014","16","Special outside fire","23915","197","11","10","0","0","0","0","0","0"
"2014","17","Cultivated vegetation, crop fire","4240","14","1","0","0","0","0","0","0","0"
"2015","10","Fire, other","34314","397","41","19","1","0","839","603","224","33"
"2015","11","Structure Fire","203933","9806","1268","97","3","0","174868","146899","85156","11661"
"2015","12","Fire in mobile property used as a fixed structure","9590","374","104","6","0","0","9013","7852","5586","1073"
"2015","13","Mobile property (vehicle) fire","145416","1065","318","57","1","0","0","0","0","0"
"2015","14","Natural vegetation fire","144661","274","12","3","0","0","0","0","0","0"
"2015","15","Outside rubbish fire","31523","57","2","2","0","0","0","0","0","0"
"2015","16","Special outside fire","25136","204","15","12","1","0","0","0","0","0"
"2015","17","Cultivated vegetation, crop fire","4737","10","2","0","0","0","0","0","0","0"
"2016","10","Fire, other","34903","364","40","36","5","0","902","659","268","43"
"2016","11","Structure Fire","210177","9708","1304","125","14","0","178377","149502","89023","14462"
"2016","12","Fire in mobile property used as a fixed structure","9541","391","126","6","0","0","8977","7743","5603","1142"
"2016","13","Mobile property (vehicle) fire","148981","1084","320","68","2","0","0","0","0","0"
"2016","14","Natural vegetation fire","160309","256","14","4","0","0","0","0","0","0"
"2016","15","Outside rubbish fire","34845","61","0","3","0","0","0","0","0","0"
"2016","16","Special outside fire","26683","220","15","9","0","0","0","0","0","0"
"2016","17","Cultivated vegetation, crop fire","4281","11","0","0","0","0","0","0","0","0"
"2017","10","Fire, other","33994","341","38","40","1","0","998","655","246","28"
"2017","11","Structure Fire","204890","9092","1310","120","9","0","171676","143378","85146","12127"
"2017","12","Fire in mobile property used as a fixed structure","9248","357","114","3","0","0","8722","7510","5451","1130"
"2017","13","Mobile property (vehicle) fire","145553","1014","267","47","0","0","0","0","0","0"
"2017","14","Natural vegetation fire","145641","239","17","5","0","0","0","0","0","0"
"2017","15","Outside rubbish fire","36840","86","3","1","0","0","0","0","0","0"
"2017","16","Special outside fire","24943","208","11","13","1","0","0","0","0","0"
"2017","17","Cultivated vegetation, crop fire","3522","6","0","0","0","0","0","0","0","0"
"2018","10","Fire, other","33114","324","38","31","1","0","1268","695","298","39"
"2018","11","Structure Fire","212019","9644","1316","151","13","0","174730","144799","85411","11414"
"2018","12","Fire in mobile property used as a fixed structure","9805","401","134","8","0","0","9205","7885","5764","1249"
"2018","13","Mobile property (vehicle) fire","147472","1088","332","58","0","0","0","0","0","0"
"2018","14","Natural vegetation fire","128942","221","15","3","0","0","0","0","0","0"
"2018","15","Outside rubbish fire","41259","76","3","6","0","0","0","0","0","0"
"2018","16","Special outside fire","24665","236","12","21","0","0","0","0","0","0"
"2018","17","Cultivated vegetation, crop fire","3381","8","0","1","0","0","0","0","0","0"
"2019","10","Fire, other","29906","311","31","30","1","0","1214","647","257","37"
"2019","11","Structure Fire","215733","9656","1363","157","13","0","174472","142934","84170","11255"
"2019","12","Fire in mobile property used as a fixed structure","10136","425","132","9","1","1","9513","8073","6005","1309"
"2019","13","Mobile property (vehicle) fire","147680","1166","355","61","1","0","0","0","0","0"
"2019","14","Natural vegetation fire","116443","175","10","3","0","0","0","0","0","0"
"2019","15","Outside rubbish fire","45882","89","7","9","0","0","0","0","0","0"
"2019","16","Special outside fire","23635","210","14","20","0","0","0","0","0","0"
"2019","17","Cultivated vegetation, crop fire","3221","2","0","0","0","0","0","0","0","0"
"2020","10","Fire, other","26970","236","29","38","2","0","920","552","215","42"
"2020","11","Structure Fire","183529","7125","1145","183","13","2","142983","115929","68749","9936"
"2020","12","Fire in mobile property used as a fixed structure","8894","335","116","7","1","0","8198","6887","5201","1250"
"2020","13","Mobile property (vehicle) fire","130706","1099","344","60","0","0","1","1","1","1"
"2020","14","Natural vegetation fire","110606","218","20","5","0","0","0","0","0","0"
"2020","15","Outside rubbish fire","56201","114","4","12","0","0","0","0","0","0"
"2020","16","Special outside fire","22211","198","10","14","1","0","0","0","0","0"
"2020","17","Cultivated vegetation, crop fire","3052","3","0","0","0","0","0","0","0","0"
"2021","10","Fire, other","27989","215","23","43","1","0","741","393","158","35"
"2021","11","Structure Fire","186839","6726","1118","199","19","0","142012","112418","68161","10253"
"2021","12","Fire in mobile property used as a fixed structure","9193","346","125","12","0","0","8457","7008","5437","1347"
"2021","13","Mobile property (vehicle) fire","133369","1064","357","69","2","0","0","0","0","0"
"2021","14","Natural vegetation fire","111594","196","14","3","0","0","0","0","0","0"
"2021","15","Outside rubbish fire","64035","97","9","10","0","0","0","0","0","0"
"2021","16","Special outside fire","22541","168","14","27","2","0","1","1","1","0"
"2021","17","Cultivated vegetation, crop fire","2822","4","1","0","0","0","0","0","0","0"
"2022","10","Fire, other","33217","221","25","69","4","0","518","222","107","40"
"2022","11","Structure Fire","211979","7184","1222","307","21","0","161784","129452","80289","12837"
"2022","12","Fire in mobile property used as a fixed structure","10430","355","114","12","0","0","9543","7846","6155","1674"
"2022","13","Mobile property (vehicle) fire","138427","1063","385","72","0","0","0","0","0","0"
"2022","14","Natural vegetation fire","146034","212","10","8","0","0","0","0","0","0"
"2022","15","Outside rubbish fire","73890","110","8","13","2","0","0","0","0","0"
"2022","16","Special outside fire","24870","165","18","48","0","0","0","0","0","0"
"2022","17","Cultivated vegetation, crop fire","3410","4","0","0","0","0","0","0","0","0"
"2023","10","Fire, other","33557","172","28","114","2","0","16","7","4","0"
"2023","11","Structure Fire","213563","7583","1234","489","50","1","169052","136752","83076","13298"
"2023","12","Fire in mobile property used as a fixed structure","10420","350","117","17","0","0","9449","7910","6071","1650"
"2023","13","Mobile property (vehicle) fire","147113","1124","392","97","1","0","0","0","0","0"
"2023","14","Natural vegetation fire","138127","235","20","7","1","0","0","0","0","0"
"2023","15","Outside rubbish fire","73314","116","6","22","0","0","0","0","0","0"
"2023","16","Special outside fire","25053","160","18","66","1","0","0","0","0","0"
"2023","17","Cultivated vegetation, crop fire","3170","6","0","0","0","0","0","0","0","0"
